No,ContractorName,Description,Status,PermitCategory,Type,SubType,Address,Zip,Applicant,Link,Lat,Long
1,BIG DOG EQUIPMENT SERVICES INC,Demo 3 unit apartment to clear the lot. Sewer cap and pedestrian prote,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,1600 E VENICE BLVD,90291,VESNAR SINUM (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19019-30000-01327,33.99665,-118.44703
2,MARTIN CONSTRUCTION COMPANY,DEMOLITION OF (E) APARTMENT BUILDING,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,2414 S PENMAR AVE,90291,MOISES CONTRERAS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=18019-30000-02975,33.9944,-118.45057
3,PADILLA J INCORPORATED,Demo detached garage by hand wrecking to clear lot.  (See comments),Permit Finaled,Plan Check,Bldg-Demolition,Apartment,742 E BROOKS AVE,90291,RAMIN KOLAHI (Owner),https://cityoflosangeles.build/permit/?pcis=14019-30000-01436,33.99739,-118.46479
4,BIG DOG EQUIPMENT SERVICES INC,Demolition of detached garage to clear the lot. Sewer cap and pedestri,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,1600 E VENICE BLVD,90291,VAESNAR SINUM (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19019-30000-01329,33.99665,-118.44703
5,BREAKFORM DESIGN INC,Demolish (e) apartment bldg (Duplex & 3 guest rooms) to clear the lot,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,3011 S OCEAN FRONT WALK,90291,RONALD HOWELL (Architect),https://cityoflosangeles.build/permit/?pcis=19019-30000-04529,33.97933,-118.46701
6,BIG DOG EQUIPMENT SERVICES INC,Demo (e) 4-unit apartment building w/ attached garage to clear the lot,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,1604 E VENICE BLVD,90291,VAESNAR SINUM (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19019-30000-01157,33.99671,-118.44691
7,EPIC CONSTRUCTION INC,DEMOLITION OF EXISTING 2-STORY 4-UNITS APARTMENT BY HANDWRECKING; SEWE,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,15 E 23RD AVE,90291,MICHAEL MCDONALD (Architect),https://cityoflosangeles.build/permit/?pcis=14019-10000-01976,33.98356,-118.4701
8,OWNER-BUILDER,DEMO 4-UNIT TYPE V SINGLE STORY APT. WITH ATTACHED GARAGE BY HAND WREC,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,2502 S WILSON AVE,90291,JOE LWIN (Owner-Bldr),https://cityoflosangeles.build/permit/?pcis=13019-10000-02508,33.98532,-118.45762
9,PADILLA J INCORPORATED,Demo 5 unit apartment by hand wrecking to clear lot. Sewer cap and fen,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,742 E BROOKS AVE,90291,RAMIN KOLAHI (Owner),https://cityoflosangeles.build/permit/?pcis=14019-30000-01435,33.99739,-118.46479
10,NESS DEVELOPMENT INC,Demolition of an exisiting 3 unit aparment building. Sewer cap permit,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,546 E VERNON AVE,90291,CHRISTIAN NAVAR (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=13019-30000-00945,33.99632,-118.4707
11,OWNER-BUILDER,Demolish existing 5-unit apartment building to clear the lot. See comm,Permit Finaled,Plan Check,Bldg-Demolition,Apartment,60 E OZONE AVE,90291,RAMYEAD  (Owner-Bldr),https://cityoflosangeles.build/permit/?pcis=14019-30000-03074,33.99625,-118.47931
