No,ContractorName,Description,Status,PermitCategory,Type,SubType,Address,Zip,Applicant,Link,Lat,Long
1,WALTON CONSTRUCTION INC,DEMO (E)OFFICE BUILDING. SEWER CAP REQUIRED. FENCE IS REQUIRED.,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,718 E ROSE AVE,90291,JONATHAN LONNER (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=20019-30000-00655,34.00061,-118.469
2,WALTON CONSTRUCTION INC,DEMO (E)OFFICE BUILDING. SEWER CAP REQUIRED. FENCE IS REUIRED.,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,720 E ROSE AVE,90291,JONATHAN LONNER (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=20019-30000-00654,34.00068,-118.46886
3,RAG HAULING INC,TO DEMO (E) CHURCH WITH SUNDAY SCHOOL. SEWER CAP FENCE AND CANOPY REQ,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,1503 E VENICE BLVD,90291,JOE KILLEFER (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19019-10000-04001,33.99661,-118.44832
4,CITY CONSTRUCTORS INC,DEMO (E) MOTEL. CLEAR LOT. SEWER CAP FENCE AND CANOPY REQUIRED,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,416 S LINCOLN BLVD,90291,JODY WOOD (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=17019-20000-05094,34.00062,-118.46595
5,HOWARD BUILDING CORPORATION,DEMO EXISTING 40'X100' SINGLE STORY STORAGE BUILDING. SEWER CAP WILL B,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,320 S HAMPTON DR,90291,THOMAS HOLLIDAY (Architect),https://cityoflosangeles.build/permit/?pcis=15019-10000-02549,33.99612,-118.47637
6,SDCCO,eplan Demolition of (E) Restaurant by handwreck method.Clear the fence,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,251 S LINCOLN BLVD,90291,Kellen Oberts (Agent),https://cityoflosangeles.build/permit/?pcis=22019-10000-03195,34.0015,-118.46858
7,KPRS CONSTRUCTION SERVICES INC,ECPC: DEMO THE (E) STRUCTURE BUILDING "B",Permit Finaled,Plan Check,Bldg-Demolition,Commercial,2471 S LINCOLN BLVD,90291,2471 LINCOLN LP (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-20000-04473,33.99274,-118.45055
8,KPRS CONSTRUCTION SERVICES INC,ECPC: DEMO THE (E) STRUCTURE BUILDING A,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,2471 S LINCOLN BLVD,90291,2471 LINCOLN LP (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-20000-04476,33.99274,-118.45055
9,KPRS CONSTRUCTION SERVICES INC,ECPC: DEMO THE (E) STRUCTURE BUILDING "D",Permit Finaled,Plan Check,Bldg-Demolition,Commercial,2469 S LINCOLN BLVD,90291,2471 LINCOLN LP (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-20000-04470,33.99281,-118.45069
10,KELLYBARON VENTURES INC,DEMOLISH EXISTING OFFICE BUILDING AS PER PIEIH DOZER AND HAND- WRACKI,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,723 S OCEAN FRONT WALK,90291,BARON RODGERS (Contractor),https://cityoflosangeles.build/permit/?pcis=21019-10000-00169,33.99139,-118.47747
11,KPRS CONSTRUCTION SERVICES INC,ECPC: DEMO THE (E) STRUCTURE BUILDING "C",Permit Finaled,Plan Check,Bldg-Demolition,Commercial,2469 S LINCOLN BLVD,90291,2471 LINCOLN LP (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-20000-04472,33.99281,-118.45069
12,KPRS CONSTRUCTION SERVICES INC,ECPC: DEMO THE (E) STRUCUTRES.,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,2469 S LINCOLN BLVD,90291,2471 LINCOLIN  (Owner-Bldr),https://cityoflosangeles.build/permit/?pcis=21019-20000-04469,33.99281,-118.45069
13,PADILLA'S COMPANY INC,DEMOLISH (E) 1 STORY 1288 SQFT COMMERCIAL BUILDING.,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,1816 S LINCOLN BLVD,90291,DAN ZACHARIAS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-10000-03561,33.99625,-118.45691
14,PADILLA'S COMPANY INC,DEMOLISH (E) 1 STORY 1260 SQFT COMMERCIAL BUILDING.,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,1808 S LINCOLN BLVD,90291,DAN ZACHARIAS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=21019-10000-03562,33.99634,-118.4571
15,OWNER-BUILDER,DEMOLITION OF AN EXISTING 42' X 40' SHEET METAL BUILDING; DEMO BY HAND,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,332 E SUNSET AVE,90291,ANTHONY BIEDUL (Owner),https://cityoflosangeles.build/permit/?pcis=16019-10000-03043,33.99541,-118.47429
16,OWNER-BUILDER,DEMOLITION OF EXISTING STORAGE SHED 25' X 20' DEMO BY HANDWRECK; SEWER,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,332 E SUNSET AVE,90291,ANTHONY BIEDUL (Owner),https://cityoflosangeles.build/permit/?pcis=16019-10000-03044,33.99541,-118.47429
17,HOWARD BUILDING CORPORATION,DEPARTMENT ERROR. NO FEE. This permit is to document that sewer cap is,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,320 S HAMPTON DR,90291,THOMAS HOLLIDAY (Architect),https://cityoflosangeles.build/permit/?pcis=15019-10001-02549,33.99612,-118.47637
18,SHAWMUT DESIGN AND CONSTRUCTION,DEMO 1 STORY COMMERCIAL RETAIL USING HAND WRECK METHOD TO CLEAR LOT. P,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,305 S OCEAN FRONT WALK,90291,ROBERT THIBODEAU (Other),https://cityoflosangeles.build/permit/?pcis=18019-10000-02215,33.99451,-118.48022
19,OWNER-BUILDER,DEMOLITION OF AN EXISTING STORAGE SHED  18' X 12'; DEMO BY HANDWRECK;,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,332 E SUNSET AVE,90291,ANTHONY BIEDUL (Owner),https://cityoflosangeles.build/permit/?pcis=16019-10000-03040,33.99541,-118.47429
20,HB PARKCO CONSTRUCTION INC,DEMO (E) GYMNASIUM TO CLEAR LOT. SEWER CAP REQ'D. FENCE AND PEDESTRIAN,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,812 S MAIN ST,90291,SOPHIA HASTINGS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=16019-20000-04366,33.99258,-118.47418
21,ARROW CONCRETE CUTTING CO INC,DEMO (5) (E) STRUCUTRES FOR AN AUTO REPAIR/ BODY SHOP BUSINESS. Sewer,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,595 E VENICE BLVD,90291,ELECTRIC POINTE LP (Owner),https://cityoflosangeles.build/permit/?pcis=22019-10000-03953,33.99003,-118.46131
22,ARROW CONCRETE CUTTING CO INC,DEMO (5) (E) STRUCUTRES FOR AN AUTO REPAIR/ BODY SOP BUSINESS. CLEAR L,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,595 E VENICE BLVD,90291,ELECTRIC POINTE LP (Owner),https://cityoflosangeles.build/permit/?pcis=22019-10000-03956,33.99003,-118.46131
23,ARROW CONCRETE CUTTING CO INC,DEMO (5) (E) STRUCUTRES FOR AN AUTO REPAIR/ BODY SHOP BUSINESS. Sewer,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,595 E VENICE BLVD,90291,ELECTRIC POINTE LP (Owner),https://cityoflosangeles.build/permit/?pcis=22019-10000-03957,33.99003,-118.46131
24,ARROW CONCRETE CUTTING CO INC,DEMO (5) (E) STRUCUTRES FOR AN AUTO REPAIR/ BODY SOP BUSINESS. Sewer C,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,595 E VENICE BLVD,90291,ELECTRIC POINTE LP (Owner),https://cityoflosangeles.build/permit/?pcis=22019-10000-03955,33.99003,-118.46131
25,ARROW CONCRETE CUTTING CO INC,DEMO (5) (E) STRUCUTRES FOR AN AUTO REPAIR/ BODY SHOP BUSINESS. BUILDI,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,595 E VENICE BLVD,90291,ELECTRIC POINTE LP (Owner),https://cityoflosangeles.build/permit/?pcis=22019-10000-03954,33.99003,-118.46131
26,CABD CONSTRUCTION INC,DEMO AN EXISTING RESTROOM FACILITY AND THE SURRONDING PLAZA AND LOW WA,Permit Finaled,Plan Check,Bldg-Demolition,Commercial,210 S OCEAN FRONT WALK,90291,RICHARD CAMPBELL (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19019-10000-02721,33.99485,-118.48086
