No,ContractorName,Description,Status,PermitCategory,Type,SubType,Address,Zip,Applicant,Link,Lat,Long
1,OWNER-BUILDER,NEW SFD WITH 3 CAR GARAGE AND ROOF DECK.,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,610 E BROOKS AVE,90291,RICK G (Owner-Bldr),https://cityoflosangeles.build/permit/?pcis=19010-10000-01028,33.99542,-118.46854
2,WACONAH CONSTRUCTION,(n) 2-story ADU w/ garage on first floor and accessory dwelling unit w,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,541 E ROSE AVE,90291,BILL TSUI (Architect),https://cityoflosangeles.build/permit/?pcis=21010-30000-01870,33.99896,-118.47265
3,OWNER-BUILDER,1) NEW 3-STORY SFR WITH 3 CAR GARAGE AND ROOF DECK   1 OF 2,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,561 E SAN JUAN AVE,90291,RICK GUNDERSON (Owner-Bldr),https://cityoflosangeles.build/permit/?pcis=19010-10000-00161,33.99313,-118.46748
4,BLAIR CONSTRUCTION INC,NEW 3-STORY TYPE VB SINGLE FAMILY DWELLING WITH ATTACHED 2-CAR GARAGE,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,538 E VERNON AVE,90291,MEHRNOOSH  (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19010-30000-00456,33.99612,-118.47109
5,BLAIR CONSTRUCTION INC,(N) 3 STORY TYPE VB SINGLE FAMILY DWELLING WITH ATTACHED GARAGE  EQUI,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,538 E VERNON AVE,90291,MEHRNOOSH  (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19010-30000-00455,33.99612,-118.47109
6,EPIC CONSTRUCTION INC,New irregular shape 63'8" x 40' NFPA13-D sprinkler throughout 2-story,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,2801 S SANBORN AVE,90291,PACIFIC CREST CONSULT. (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=18010-20000-04052,33.98204,-118.4656
7,OWNER-BUILDER,(N) 2 story SFD (2842 sf) w./ att. carport (349 sf) and roof deck,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,1008 S OAKWOOD AVE,90291,LEE ARCHITECTS (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19010-30000-04650,33.99634,-118.46447
8,OWNER-BUILDER,NEW SINGLE FAMILY DWELLING WITH ATTACHED GARAGE AND BASEMENT.,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,676 E MARR ST,90291,GABRIELLA FASH (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=17010-10000-01971,33.98759,-118.45539
9,OWNER-BUILDER,NEW TWO-STORY SINGLE FAMILY DWELLING WITH ATTACHED GARAGE AND BASEMENT,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,678 E MARR ST,90291,GABRIELLA FASH (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=17010-10000-01973,33.9876,-118.4553
10,OWNER-BUILDER,NEW 20'X14' DETACHED GARAGE,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,2477 S GLENCOE AVE,90291,ALLISON PRIDY (Other),https://cityoflosangeles.build/permit/?pcis=19010-10000-04359,33.99475,-118.44593
11,H T A CONSTRUCTION & DEVELOPMENT,NEW 2 STORY ADU (760 SF) WITH ATTACHED GARAGE PER 12.22 A 33 C & D AND,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,703 S 6TH AVE,90291,Robert Thibodeau (Architect),,,
12,HINES CONSTRUCTION INC,New 2-story single family dwelling with attached garage and basement,Issued,Plan Check,Bldg-New,1 or 2 Family Dwelling,623 W BOCCACCIO AVE,90291,RONALD HOWELL (Agent for Owner),https://cityoflosangeles.build/permit/?pcis=19010-30000-03876,33.98999,-118.45729
